location,map_or_file,species,method,level,conditions,origin,on_pick_list
Eterna City,scripts_eterna_city_condominiums_1f.s,SPECIES_CHARCADET,gift,23,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_ETERNA_CITY_CONDOMINIUMS_GIFT)",base-rom,yes
Eterna City,scripts_eterna_city_condominiums_1f.s,SPECIES_YAMASK,gift,23,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_ETERNA_CITY_CONDOMINIUMS_GIFT)",base-rom,yes
Floaroma Meadow,scripts_floaroma_meadow_house.s,SPECIES_COMBEE,gift,18,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_FLOAROMA_MEADOW_HOUSE_GIFT)",base-rom,yes
Floaroma Meadow,scripts_floaroma_meadow_house.s,SPECIES_FLABEBE,gift,18,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_FLOAROMA_MEADOW_HOUSE_GIFT)",base-rom,yes
Floaroma Meadow,scripts_floaroma_meadow_house.s,SPECIES_PACHIRISU,gift,18,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_FLOAROMA_MEADOW_HOUSE_GIFT)",base-rom,yes
Floaroma Town,scripts_floaroma_town_middle_house.s,SPECIES_SWABLU,gift,18,"clown gift, one of four rolled at random; once only (FLAG_RECEIVED_FLOAROMA_TOWN_MIDDLE_HOUSE_GIFT)",base-rom,yes
Floaroma Town,scripts_floaroma_town_middle_house.s,SPECIES_POOCHYENA,gift,18,"clown gift, one of four rolled at random; once only (FLAG_RECEIVED_FLOAROMA_TOWN_MIDDLE_HOUSE_GIFT)",base-rom,yes
Floaroma Town,scripts_floaroma_town_middle_house.s,SPECIES_SEEDOT,gift,18,"clown gift, one of four rolled at random; once only (FLAG_RECEIVED_FLOAROMA_TOWN_MIDDLE_HOUSE_GIFT)",base-rom,yes
Floaroma Town,scripts_floaroma_town_middle_house.s,SPECIES_STUNKY,gift,18,"clown gift, one of four rolled at random; once only (FLAG_RECEIVED_FLOAROMA_TOWN_MIDDLE_HOUSE_GIFT)",base-rom,yes
Hearthome City,scripts_hearthome_city_northwest_house.s,SPECIES_EEVEE,gift,20,"gift from the woman in the house; once only (FLAG_RECEIVED_...EEVEE), cleared again by the post-game Trades/Gifts Reset",vanilla,yes
Hearthome City,scripts_hearthome_city_pokemon_fan_club.s,SPECIES_FROAKIE,gift,30,pick one of nine first partners from a list menu; once only (FLAG_RECEIVED_HEARTHOME_CITY_POKEMON_FAN_CLUB_GIFT),base-rom,yes
Hearthome City,scripts_hearthome_city_pokemon_fan_club.s,SPECIES_CHARMANDER,gift,30,pick one of nine first partners from a list menu; once only (FLAG_RECEIVED_HEARTHOME_CITY_POKEMON_FAN_CLUB_GIFT),base-rom,yes
Hearthome City,scripts_hearthome_city_pokemon_fan_club.s,SPECIES_SQUIRTLE,gift,30,pick one of nine first partners from a list menu; once only (FLAG_RECEIVED_HEARTHOME_CITY_POKEMON_FAN_CLUB_GIFT),base-rom,yes
Hearthome City,scripts_hearthome_city_pokemon_fan_club.s,SPECIES_LITTEN,gift,30,pick one of nine first partners from a list menu; once only (FLAG_RECEIVED_HEARTHOME_CITY_POKEMON_FAN_CLUB_GIFT),base-rom,yes
Hearthome City,scripts_hearthome_city_pokemon_fan_club.s,SPECIES_TURTWIG,gift,30,pick one of nine first partners from a list menu; once only (FLAG_RECEIVED_HEARTHOME_CITY_POKEMON_FAN_CLUB_GIFT),base-rom,yes
Hearthome City,scripts_hearthome_city_pokemon_fan_club.s,SPECIES_PIPLUP,gift,30,pick one of nine first partners from a list menu; once only (FLAG_RECEIVED_HEARTHOME_CITY_POKEMON_FAN_CLUB_GIFT),base-rom,yes
Hearthome City,scripts_hearthome_city_pokemon_fan_club.s,SPECIES_TREECKO,gift,30,pick one of nine first partners from a list menu; once only (FLAG_RECEIVED_HEARTHOME_CITY_POKEMON_FAN_CLUB_GIFT),base-rom,yes
Hearthome City,scripts_hearthome_city_pokemon_fan_club.s,SPECIES_TORCHIC,gift,30,pick one of nine first partners from a list menu; once only (FLAG_RECEIVED_HEARTHOME_CITY_POKEMON_FAN_CLUB_GIFT),base-rom,yes
Hearthome City,scripts_hearthome_city_pokemon_fan_club.s,SPECIES_MUDKIP,gift,30,pick one of nine first partners from a list menu; once only (FLAG_RECEIVED_HEARTHOME_CITY_POKEMON_FAN_CLUB_GIFT),base-rom,yes
Jubilife City,scripts_jubilife_city_south_house_1f.s,SPECIES_GLAMEOW,gift,10,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_JUBILIFE_CITY_SOUTH_HOUSE_GIFT)",base-rom,yes
Jubilife City,scripts_jubilife_city_south_house_1f.s,SPECIES_SKITTY,gift,10,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_JUBILIFE_CITY_SOUTH_HOUSE_GIFT)",base-rom,yes
Jubilife City,scripts_jubilife_city_south_house_1f.s,SPECIES_PURRLOIN,gift,10,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_JUBILIFE_CITY_SOUTH_HOUSE_GIFT)",base-rom,yes
Oreburgh City,scripts_oreburgh_city_middle_house.s,SPECIES_RHYHORN,gift,15,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_OREBURGH_CITY_MIDDLE_HOUSE_GIFT)",base-rom,yes
Oreburgh City,scripts_oreburgh_city_middle_house.s,SPECIES_GLIMMET,gift,15,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_OREBURGH_CITY_MIDDLE_HOUSE_GIFT)",base-rom,yes
Oreburgh City,scripts_oreburgh_city_middle_house.s,SPECIES_BRONZOR,gift,15,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_OREBURGH_CITY_MIDDLE_HOUSE_GIFT)",base-rom,yes
Pastoria City,scripts_pastoria_city_north_house.s,SPECIES_OCTILLERY,gift,45,"clown gift, one of six rolled at random; the roll was GetRandom 3 with six branches, so three could never come out, and was widened to six; once only (FLAG_RECEIVED_PASTORIA_CITY_NORTH_HOUSE_GIFT)",base-rom,yes
Pastoria City,scripts_pastoria_city_north_house.s,SPECIES_MANTINE,gift,45,"clown gift, one of six rolled at random; the roll was GetRandom 3 with six branches, so three could never come out, and was widened to six; once only (FLAG_RECEIVED_PASTORIA_CITY_NORTH_HOUSE_GIFT)",base-rom,yes
Pastoria City,scripts_pastoria_city_north_house.s,SPECIES_CRAWDAUNT,gift,45,"clown gift, one of six rolled at random; the roll was GetRandom 3 with six branches, so three could never come out, and was widened to six; once only (FLAG_RECEIVED_PASTORIA_CITY_NORTH_HOUSE_GIFT)",base-rom,yes
Pastoria City,scripts_pastoria_city_north_house.s,SPECIES_SHARPEDO,gift,45,"clown gift, one of six rolled at random; the roll was GetRandom 3 with six branches, so three could never come out, and was widened to six; once only (FLAG_RECEIVED_PASTORIA_CITY_NORTH_HOUSE_GIFT)",base-rom,yes
Pastoria City,scripts_pastoria_city_north_house.s,SPECIES_LANTURN,gift,45,"clown gift, one of six rolled at random; the roll was GetRandom 3 with six branches, so three could never come out, and was widened to six; once only (FLAG_RECEIVED_PASTORIA_CITY_NORTH_HOUSE_GIFT)",base-rom,yes
Pastoria City,scripts_pastoria_city_north_house.s,SPECIES_TOXAPEX,gift,45,"clown gift, one of six rolled at random; the roll was GetRandom 3 with six branches, so three could never come out, and was widened to six; once only (FLAG_RECEIVED_PASTORIA_CITY_NORTH_HOUSE_GIFT)",base-rom,yes
Pokémon Day Care,scripts_pokemon_day_care.s,SPECIES_FLOETTE,gift,30,"the Day Care man hands it over on a yes/no prompt; once only (FLAG_RECEIVED_POKEMON_DAY_CARE_GIFT); shiny, perfect IVs and a neutral nature, through GiveDesignedPokemon",base-rom,yes
Sandgem Town,scripts_sandgem_town_house.s,SPECIES_PICHU,gift,5,pick one of three from a list menu; once only (FLAG_RECEIVED_SANDGEM_TOWN_HOUSE_GIFT),base-rom,yes
Sandgem Town,scripts_sandgem_town_house.s,SPECIES_GRUBBIN,gift,5,pick one of three from a list menu; once only (FLAG_RECEIVED_SANDGEM_TOWN_HOUSE_GIFT),base-rom,yes
Sandgem Town,scripts_sandgem_town_house.s,SPECIES_FLETCHLING,gift,5,pick one of three from a list menu; once only (FLAG_RECEIVED_SANDGEM_TOWN_HOUSE_GIFT),base-rom,yes
Solaceon Town,scripts_solaceon_town_northeast_house.s,SPECIES_LUNATONE,gift,30,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_SOLACEON_TOWN_NORTHEAST_HOUSE_GIFT)",base-rom,yes
Solaceon Town,scripts_solaceon_town_northeast_house.s,SPECIES_TRAPINCH,gift,30,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_SOLACEON_TOWN_NORTHEAST_HOUSE_GIFT)",base-rom,yes
Solaceon Town,scripts_solaceon_town_northeast_house.s,SPECIES_SOLROCK,gift,30,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_SOLACEON_TOWN_NORTHEAST_HOUSE_GIFT)",base-rom,yes
Jubilife City,scripts_unused_jubilife_city_south_house_3f.s,SPECIES_GLAMEOW,gift,8,a third-floor copy of the Jubilife clown; once only (FLAG_RECEIVED_UNUSED_JUBILIFE_CITY_SOUTH_HOUSE_3F_GIFT); check the map is reachable before counting it,base-rom,yes
Jubilife City,scripts_unused_jubilife_city_south_house_3f.s,SPECIES_SKITTY,gift,8,a third-floor copy of the Jubilife clown; once only (FLAG_RECEIVED_UNUSED_JUBILIFE_CITY_SOUTH_HOUSE_3F_GIFT); check the map is reachable before counting it,base-rom,yes
Jubilife City,scripts_unused_jubilife_city_south_house_3f.s,SPECIES_PURRLOIN,gift,8,a third-floor copy of the Jubilife clown; once only (FLAG_RECEIVED_UNUSED_JUBILIFE_CITY_SOUTH_HOUSE_3F_GIFT); check the map is reachable before counting it,base-rom,yes
Veilstone City,scripts_veilstone_city_northeast_house.s,SPECIES_BELDUM,gift,40,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_VEILSTONE_CITY_NORTHEAST_HOUSE_GIFT); the Porygon slot beside it is a separate gift with its own vanilla flag",base-rom,yes
Veilstone City,scripts_veilstone_city_northeast_house.s,SPECIES_SNEASEL,gift,40,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_VEILSTONE_CITY_NORTHEAST_HOUSE_GIFT); the Porygon slot beside it is a separate gift with its own vanilla flag",base-rom,yes
Veilstone City,scripts_veilstone_city_northeast_house.s,SPECIES_MASQUERAIN,gift,40,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_VEILSTONE_CITY_NORTHEAST_HOUSE_GIFT); the Porygon slot beside it is a separate gift with its own vanilla flag",base-rom,yes
Veilstone City,scripts_veilstone_city_northeast_house.s,SPECIES_ELEKID,gift,25,"clown gift, one of three rolled at random; once only (FLAG_RECEIVED_VEILSTONE_CITY_NORTHEAST_HOUSE_GIFT); the Porygon slot beside it is a separate gift with its own vanilla flag",base-rom,yes
Eterna City,scripts_eterna_city.s,SPECIES_TOGEPI,egg gift,1,Egg from Cynthia in Eterna City; once only; hatches at level 1 and counts where it hatches; giver Cynthia,vanilla,yes
Iron Island,scripts_iron_island_b2f_left_room.s,SPECIES_RIOLU,egg gift,1,Egg from Riley after the Iron Island partner section; once only; hatches at level 1 and counts where it hatches; giver Riley,vanilla,yes
Pokémon Mansion,scripts_pokemon_mansion_office.s,SPECIES_MANAPHY,egg gift,1,"Egg from the Mansion's owner; once only (FLAG_UNK_0x0A65), cleared again by the post-game Trades/Gifts Reset; vanilla only ever gave this through Mystery Gift; hatches at level 1 and counts where it hatches; giver Distant land",base-rom,yes
Mining Museum,scripts_mining_museum.s,SPECIES_AERODACTYL,fossil,20,"revive ITEM_OLD_AMBER at the Oreburgh Mining Museum; the fossil comes from the Underground or a route; repeatable, one at a time; the script's operand is VAR_REVIVED_POKEMON_SPECIES and the item-to-species table is src/scrcmd_fossil.c",vanilla,no
Mining Museum,scripts_mining_museum.s,SPECIES_OMANYTE,fossil,20,"revive ITEM_HELIX_FOSSIL at the Oreburgh Mining Museum; the fossil comes from the Underground or a route; repeatable, one at a time; the script's operand is VAR_REVIVED_POKEMON_SPECIES and the item-to-species table is src/scrcmd_fossil.c",vanilla,no
Mining Museum,scripts_mining_museum.s,SPECIES_KABUTO,fossil,20,"revive ITEM_DOME_FOSSIL at the Oreburgh Mining Museum; the fossil comes from the Underground or a route; repeatable, one at a time; the script's operand is VAR_REVIVED_POKEMON_SPECIES and the item-to-species table is src/scrcmd_fossil.c",vanilla,no
Mining Museum,scripts_mining_museum.s,SPECIES_LILEEP,fossil,20,"revive ITEM_ROOT_FOSSIL at the Oreburgh Mining Museum; the fossil comes from the Underground or a route; repeatable, one at a time; the script's operand is VAR_REVIVED_POKEMON_SPECIES and the item-to-species table is src/scrcmd_fossil.c",vanilla,yes
Mining Museum,scripts_mining_museum.s,SPECIES_ANORITH,fossil,20,"revive ITEM_CLAW_FOSSIL at the Oreburgh Mining Museum; the fossil comes from the Underground or a route; repeatable, one at a time; the script's operand is VAR_REVIVED_POKEMON_SPECIES and the item-to-species table is src/scrcmd_fossil.c",vanilla,no
Mining Museum,scripts_mining_museum.s,SPECIES_SHIELDON,fossil,20,"revive ITEM_ARMOR_FOSSIL at the Oreburgh Mining Museum; the fossil comes from the Underground or a route; repeatable, one at a time; the script's operand is VAR_REVIVED_POKEMON_SPECIES and the item-to-species table is src/scrcmd_fossil.c",vanilla,yes
Mining Museum,scripts_mining_museum.s,SPECIES_CRANIDOS,fossil,20,"revive ITEM_SKULL_FOSSIL at the Oreburgh Mining Museum; the fossil comes from the Underground or a route; repeatable, one at a time; the script's operand is VAR_REVIVED_POKEMON_SPECIES and the item-to-species table is src/scrcmd_fossil.c",vanilla,yes
Oreburgh City,res/npc_trades/kazza_abra.json,SPECIES_VULLABY,in-game trade,(traded mon's level),"trade away SPECIES_NONE to get it; once only; OT Hilary, holds ITEM_DESTINY_KNOT; vanilla gave SPECIES_ABRA holding ITEM_ORAN_BERRY",base-rom,yes
Eterna City,res/npc_trades/charap_chatot.json,SPECIES_POPPLIO,in-game trade,(traded mon's level),"trade away SPECIES_NONE to get it; once only; OT Norton, holds ITEM_LEPPA_BERRY; vanilla gave SPECIES_CHATOT holding ITEM_LEPPA_BERRY",base-rom,yes
Snowpoint City,res/npc_trades/gaspar_haunter.json,SPECIES_GENGAR,in-game trade,(traded mon's level),"trade away SPECIES_MEDICHAM to get it; once only; OT Mindy, holds ITEM_EVERSTONE; vanilla gave SPECIES_HAUNTER holding ITEM_EVERSTONE",base-rom,yes
Route 226,res/npc_trades/foppa_magikarp.json,SPECIES_MAGIKARP,in-game trade,(traded mon's level),"trade away SPECIES_FINNEON to get it; once only; OT Meister, holds ITEM_LUM_BERRY",vanilla,yes
Acuity Cavern,scripts_acuity_cavern.s,SPECIES_UXIE,static battle,50,"after the Galactic plot at Lake Acuity; once, unless the post-game Legendary Reset is used",vanilla,yes
Distortion World,scripts_distortion_world_giratina_room.s,SPECIES_GIRATINA,static battle,47,the story battle in the Distortion World; Origin Forme; once,vanilla,yes
Flower Paradise,scripts_flower_paradise.s,SPECIES_SHAYMIN,static battle,30,"needs Oak's Letter and the Seabreak Path; in vanilla the Letter was a Mystery Gift item, here the Sandgem lab hands it over with the National Dex",vanilla,yes
Hall of Origin,scripts_hall_of_origin.s,SPECIES_ARCEUS,static battle,80,"needs the Azure Flute at the Spear Pillar; in vanilla the Flute was never distributed, here the Sandgem lab hands it over with the National Dex",vanilla,yes
Iceberg Ruins,scripts_iceberg_ruins.s,SPECIES_REGICE,static battle,30,"the Snowpoint Temple Regi puzzle, post-game",vanilla,yes
Iron Ruins,scripts_iron_ruins.s,SPECIES_REGISTEEL,static battle,30,"the Iron Island Regi puzzle, post-game",vanilla,yes
Newmoon Island,scripts_newmoon_island_forest.s,SPECIES_DARKRAI,static battle,50,"needs the Member Card for the Canalave sailor; in vanilla the Card was a Mystery Gift item, here the Sandgem lab hands it over with the National Dex",vanilla,yes
Old Chateau,scripts_old_chateau_back_middle_west_room.s,SPECIES_ROTOM,static battle,20,"the TV in the Old Chateau, once per day (FLAG_DAILY_BATTLED_OLD_CHATEAU_ROTOM)",vanilla,yes
Rock Peak Ruins,scripts_rock_peak_ruins.s,SPECIES_REGIROCK,static battle,30,"the Route 228 Regi puzzle, post-game",vanilla,yes
Route 209,scripts_route_209.s,SPECIES_SPIRITOMB,static battle,25,"put an Odd Keystone in the Hallowed Tower, talk to 32 Underground players, then check the tower; once",vanilla,yes
Snowpoint Temple,scripts_snowpoint_temple_b5f.s,SPECIES_REGIGIGAS,static battle,1,"at the bottom of Snowpoint Temple with Regirock, Regice and Registeel in the party; level 1",vanilla,yes
Spear Pillar,scripts_spear_pillar_dialga.s,SPECIES_DIALGA,static battle,70,the story battle at the Spear Pillar,vanilla,yes
Spear Pillar,scripts_spear_pillar_palkia.s,SPECIES_PALKIA,static battle,70,the story battle at the Spear Pillar,vanilla,yes
Stark Mountain,scripts_stark_mountain_room_3.s,SPECIES_HEATRAN,static battle,50,after the Stark Mountain / Buck story; once,vanilla,yes
Turnback Cave,scripts_turnback_cave_giratina_room.s,SPECIES_GIRATINA,static battle,47,"Turnback Cave, after the Distortion World; Altered Forme",vanilla,yes
Valley Windworks,scripts_valley_windworks_outside.s,SPECIES_DRIFLOON,static battle,15,"the balloon by the Windworks, Friday only, once per week",vanilla,yes
Valor Cavern,scripts_valor_cavern.s,SPECIES_AZELF,static battle,50,after the Galactic plot at Lake Valor; once,vanilla,yes
Verity Cavern,scripts_verity_cavern.s,SPECIES_MESPRIT,roamer,50,released when you reach it in Verity Cavern after the Galactic plot; then roams; the Marking Map app tracks it,vanilla,yes
Fullmoon Island,scripts_fullmoon_island_forest.s,SPECIES_CRESSELIA,roamer,50,released on Fullmoon Island (reached with the Lunar Wing errand); then roams,vanilla,yes
(not released by any script),src/roaming_pokemon.c,SPECIES_DARKRAI,roamer,40,"the slot exists in src/roaming_pokemon.c but no script calls ActivateRoamingPokemon for it, in this ROM or in vanilla, so it is unreachable",vanilla,yes
Eterna City,scripts_eterna_city_south_house.s,SPECIES_MOLTRES,roamer,60,released by Prof. Oak in the Eterna City south house once the National Dex is in hand; then roams,vanilla,yes
Eterna City,scripts_eterna_city_south_house.s,SPECIES_ZAPDOS,roamer,60,released by Prof. Oak in the Eterna City south house once the National Dex is in hand; then roams,vanilla,yes
Eterna City,scripts_eterna_city_south_house.s,SPECIES_ARTICUNO,roamer,60,released by Prof. Oak in the Eterna City south house once the National Dex is in hand; then roams,vanilla,yes
Mt. Coronet,encounters_mt_coronet_b1f.json,SPECIES_FEEBAS,special tile (rod),10-20,"four tiles out of the lake's fishing tiles hold it, chosen from the record-mixing RNG and re-rolled on a record mix; Super Rod only, 50% per cast on a good tile (src/overlay006/feebas_fishing.c)",vanilla,yes
Solaceon Ruins,encounters_solaceon_ruins_maniac_tunnel_room.json,SPECIES_UNOWN,unown room,20,"the room's Unown forms are fixed by unown_table 8: ! ?; the Maniac Tunnel secret room, open after all 26 other forms have been seen",vanilla,no
Solaceon Ruins,encounters_solaceon_ruins_room_1_northwest_dead_end.json,SPECIES_UNOWN,unown room,20,the room's Unown forms are fixed by unown_table 1: A B C G H J K L M O P Q S T U V W X Y Z (a dead-end room),vanilla,no
Solaceon Ruins,encounters_solaceon_ruins_room_1_southeast_dead_end.json,SPECIES_UNOWN,unown room,20,the room's Unown forms are fixed by unown_table 1: A B C G H J K L M O P Q S T U V W X Y Z (a dead-end room),vanilla,no
Solaceon Ruins,encounters_solaceon_ruins_room_2.json,SPECIES_UNOWN,unown room,20,the room's Unown forms are fixed by unown_table 2: F (a room on the F-R-I-E-N-D path),vanilla,no
Solaceon Ruins,encounters_solaceon_ruins_room_2_northeast_dead_end.json,SPECIES_UNOWN,unown room,20,the room's Unown forms are fixed by unown_table 1: A B C G H J K L M O P Q S T U V W X Y Z (a dead-end room),vanilla,no
Solaceon Ruins,encounters_solaceon_ruins_room_2_southeast_dead_end.json,SPECIES_UNOWN,unown room,20,the room's Unown forms are fixed by unown_table 1: A B C G H J K L M O P Q S T U V W X Y Z (a dead-end room),vanilla,no
Solaceon Ruins,encounters_solaceon_ruins_room_3.json,SPECIES_UNOWN,unown room,20,the room's Unown forms are fixed by unown_table 3: R (a room on the F-R-I-E-N-D path),vanilla,no
Solaceon Ruins,encounters_solaceon_ruins_room_3_northwest_dead_end.json,SPECIES_UNOWN,unown room,20,the room's Unown forms are fixed by unown_table 1: A B C G H J K L M O P Q S T U V W X Y Z (a dead-end room),vanilla,no
Solaceon Ruins,encounters_solaceon_ruins_room_3_southwest_dead_end.json,SPECIES_UNOWN,unown room,20,the room's Unown forms are fixed by unown_table 1: A B C G H J K L M O P Q S T U V W X Y Z (a dead-end room),vanilla,no
Solaceon Ruins,encounters_solaceon_ruins_room_4.json,SPECIES_UNOWN,unown room,20,the room's Unown forms are fixed by unown_table 4: I (a room on the F-R-I-E-N-D path),vanilla,no
Solaceon Ruins,encounters_solaceon_ruins_room_4_southeast_dead_end.json,SPECIES_UNOWN,unown room,20,the room's Unown forms are fixed by unown_table 1: A B C G H J K L M O P Q S T U V W X Y Z (a dead-end room),vanilla,no
Solaceon Ruins,encounters_solaceon_ruins_room_5.json,SPECIES_UNOWN,unown room,20,the room's Unown forms are fixed by unown_table 6: E (a room on the F-R-I-E-N-D path),vanilla,no
Solaceon Ruins,encounters_solaceon_ruins_room_5_southeast_deadend.json,SPECIES_UNOWN,unown room,20,the room's Unown forms are fixed by unown_table 1: A B C G H J K L M O P Q S T U V W X Y Z (a dead-end room),vanilla,no
Solaceon Ruins,encounters_solaceon_ruins_room_5_southwest_dead_end.json,SPECIES_UNOWN,unown room,20,the room's Unown forms are fixed by unown_table 1: A B C G H J K L M O P Q S T U V W X Y Z (a dead-end room),vanilla,no
Solaceon Ruins,encounters_solaceon_ruins_room_6.json,SPECIES_UNOWN,unown room,20,the room's Unown forms are fixed by unown_table 5: N (a room on the F-R-I-E-N-D path),vanilla,no
Solaceon Ruins,encounters_solaceon_ruins_room_6_northwest_dead_end.json,SPECIES_UNOWN,unown room,20,the room's Unown forms are fixed by unown_table 1: A B C G H J K L M O P Q S T U V W X Y Z (a dead-end room),vanilla,no
Solaceon Ruins,encounters_solaceon_ruins_room_6_southeast_dead_end.json,SPECIES_UNOWN,unown room,20,the room's Unown forms are fixed by unown_table 1: A B C G H J K L M O P Q S T U V W X Y Z (a dead-end room),vanilla,no
Solaceon Ruins,encounters_solaceon_ruins_room_7.json,SPECIES_UNOWN,unown room,20,the room's Unown forms are fixed by unown_table 7: D (a room on the F-R-I-E-N-D path),vanilla,no
Honey trees (21 routes),encounters_honey_tree.json,SPECIES_COMBEE,honey tree (common),5-15,"group A, 70% of a shaking tree (20% on a Munchlax tree); slather with Honey, wait 6 hours, 24-hour window; the four Munchlax trees are picked from the trainer ID; slot rates 40/20/20/10/5/5 (src/overlay005/honey_tree.c)",vanilla,yes
Honey trees (21 routes),encounters_honey_tree.json,SPECIES_SEWADDLE,honey tree (common),5-15,"group A, 70% of a shaking tree (20% on a Munchlax tree); slather with Honey, wait 6 hours, 24-hour window; the four Munchlax trees are picked from the trainer ID; slot rates 40/20/20/10/5/5 (src/overlay005/honey_tree.c)",base-rom,yes
Honey trees (21 routes),encounters_honey_tree.json,SPECIES_GRUBBIN,honey tree (common),5-15,"group A, 70% of a shaking tree (20% on a Munchlax tree); slather with Honey, wait 6 hours, 24-hour window; the four Munchlax trees are picked from the trainer ID; slot rates 40/20/20/10/5/5 (src/overlay005/honey_tree.c)",base-rom,yes
Honey trees (21 routes),encounters_honey_tree.json,SPECIES_COMBEE,honey tree (uncommon),5-15,"group B, 20% of a shaking tree (70% on a Munchlax tree); slather with Honey, wait 6 hours, 24-hour window; the four Munchlax trees are picked from the trainer ID; slot rates 40/20/20/10/5/5 (src/overlay005/honey_tree.c)",base-rom,yes
Honey trees (21 routes),encounters_honey_tree.json,SPECIES_HERACROSS,honey tree (uncommon),5-15,"group B, 20% of a shaking tree (70% on a Munchlax tree); slather with Honey, wait 6 hours, 24-hour window; the four Munchlax trees are picked from the trainer ID; slot rates 40/20/20/10/5/5 (src/overlay005/honey_tree.c)",base-rom,yes
Honey trees (21 routes),encounters_honey_tree.json,SPECIES_ROWLET,honey tree (rare),5-15,"group C, only on the four Munchlax trees, 1%; slather with Honey, wait 6 hours, 24-hour window; the four Munchlax trees are picked from the trainer ID; slot rates 40/20/20/10/5/5 (src/overlay005/honey_tree.c)",base-rom,yes
Honey trees (21 routes),encounters_honey_tree.json,SPECIES_SNIVY,honey tree (rare),5-15,"group C, only on the four Munchlax trees, 1%; slather with Honey, wait 6 hours, 24-hour window; the four Munchlax trees are picked from the trainer ID; slot rates 40/20/20/10/5/5 (src/overlay005/honey_tree.c)",base-rom,yes
Honey trees (21 routes),encounters_honey_tree.json,SPECIES_SPRIGATITO,honey tree (rare),5-15,"group C, only on the four Munchlax trees, 1%; slather with Honey, wait 6 hours, 24-hour window; the four Munchlax trees are picked from the trainer ID; slot rates 40/20/20/10/5/5 (src/overlay005/honey_tree.c)",base-rom,yes
Great Marsh,encounters_great_marsh_lookout.json,SPECIES_WOOPER,great marsh daily (pre-natdex),22-30,"one of these 32 is in each of the six marsh areas per day, index = 5 bits of the daily seed per area; only while a Safari Game is running; overwrites land slots 6 and 7",vanilla,yes
