species_id,constant,name,dex_pos,natdex,kind,donor_index
524,SPECIES_GOTHORITA,Gothorita,234,575,species,625
525,SPECIES_GOTHITELLE,Gothitelle,235,576,species,626
526,SPECIES_EMOLGA,Emolga,236,587,species,637
527,SPECIES_FRILLISH,Frillish,237,592,species,642
528,SPECIES_JELLICENT,Jellicent,238,593,species,643
529,SPECIES_ALOMOMOLA,Alomomola,239,594,species,644
530,SPECIES_JOLTIK,Joltik,240,595,species,645
531,SPECIES_GALVANTULA,Galvantula,241,596,species,646
532,SPECIES_FERROSEED,Ferroseed,242,597,species,647
533,SPECIES_FERROTHORN,Ferrothorn,243,598,species,648
534,SPECIES_LITWICK,Litwick,244,607,species,657
535,SPECIES_LAMPENT,Lampent,245,608,species,658
536,SPECIES_CHANDELURE,Chandelure,246,609,species,659
537,SPECIES_MIENFOO,Mienfoo,247,619,species,669
538,SPECIES_MIENSHAO,Mienshao,248,620,species,670
539,SPECIES_VULLABY,Vullaby,249,629,species,679
540,SPECIES_MANDIBUZZ,Mandibuzz,250,630,species,680
541,SPECIES_LARVESTA,Larvesta,251,636,species,686
542,SPECIES_VOLCARONA,Volcarona,252,637,species,687
543,SPECIES_FENNEKIN,Fennekin,253,653,species,703
544,SPECIES_BRAIXEN,Braixen,254,654,species,704
545,SPECIES_DELPHOX,Delphox,255,655,species,705
546,SPECIES_FROAKIE,Froakie,256,656,species,706
547,SPECIES_FROGADIER,Frogadier,257,657,species,707
548,SPECIES_GRENINJA,Greninja,258,658,species,708
549,SPECIES_FLETCHLING,Fletchling,259,661,species,711
550,SPECIES_FLETCHINDER,Fletchinder,260,662,species,712
551,SPECIES_TALONFLAME,Talonflame,261,663,species,713
552,SPECIES_FLABEBE,Flabebe,262,669,species,719
553,SPECIES_FLOETTE,Floette,263,670,species,720
554,SPECIES_FLORGES,Florges,264,671,species,721
555,SPECIES_HAWLUCHA,Hawlucha,265,701,species,751
556,SPECIES_CARBINK,Carbink,266,703,species,753
557,SPECIES_GOOMY,Goomy,267,704,species,754
558,SPECIES_SLIGGOO,Sliggoo,268,705,species,755
559,SPECIES_HISUIAN_SLIGGOO,Hisuian Sliggoo,269,705,form,1338
560,SPECIES_GOODRA,Goodra,270,706,species,756
561,SPECIES_HISUIAN_GOODRA,Hisuian Goodra,271,706,form,1339
562,SPECIES_KLEFKI,Klefki,272,707,species,757
563,SPECIES_XERNEAS,Xerneas,273,716,species,766
564,SPECIES_YVELTAL,Yveltal,274,717,species,767
565,SPECIES_ZYGARDE_10,Zygarde 10%,275,718,form,1269
566,SPECIES_ZYGARDE_50,Zygarde 50%,276,718,species,768
567,SPECIES_DIANCIE,Diancie,277,719,species,769
568,SPECIES_ROWLET,Rowlet,278,722,species,772
569,SPECIES_DARTRIX,Dartrix,279,723,species,773
570,SPECIES_DECIDUEYE,Decidueye,280,724,species,774
571,SPECIES_LITTEN,Litten,281,725,species,775
572,SPECIES_TORRACAT,Torracat,282,726,species,776
573,SPECIES_INCINEROAR,Incineroar,283,727,species,777
574,SPECIES_POPPLIO,Popplio,284,728,species,778
575,SPECIES_BRIONNE,Brionne,285,729,species,779
576,SPECIES_PRIMARINA,Primarina,286,730,species,780
577,SPECIES_PIKIPEK,Pikipek,287,731,species,781
578,SPECIES_TRUMBEAK,Trumbeak,288,732,species,782
579,SPECIES_TOUCANNON,Toucannon,289,733,species,783
580,SPECIES_GRUBBIN,Grubbin,290,736,species,786
581,SPECIES_CHARJABUG,Charjabug,291,737,species,787
582,SPECIES_VIKAVOLT,Vikavolt,292,738,species,788
583,SPECIES_MAREANIE,Mareanie,293,747,species,797
584,SPECIES_TOXAPEX,Toxapex,294,748,species,798
585,SPECIES_DEWPIDER,Dewpider,295,751,species,801
586,SPECIES_ARAQUANID,Araquanid,296,752,species,802
587,SPECIES_FOMANTIS,Fomantis,297,753,species,803
588,SPECIES_LURANTIS,Lurantis,298,754,species,804
589,SPECIES_SALANDIT,Salandit,299,757,species,807
590,SPECIES_SALAZZLE,Salazzle,300,758,species,808
591,SPECIES_BOUNSWEET,Bounsweet,301,761,species,811
592,SPECIES_STEENEE,Steenee,302,762,species,812
593,SPECIES_TSAREENA,Tsareena,303,763,species,813
594,SPECIES_SANDYGAST,Sandygast,304,769,species,819
595,SPECIES_PALOSSAND,Palossand,305,770,species,820
596,SPECIES_TURTONATOR,Turtonator,306,776,species,826
597,SPECIES_TOGEDEMARU,Togedemaru,307,777,species,827
598,SPECIES_DHELMISE,Dhelmise,308,781,species,831
599,SPECIES_JANGMO_O,Jangmo-o,309,782,species,832
600,SPECIES_HAKAMO_O,Hakamo-o,310,783,species,833
601,SPECIES_KOMMO_O,Kommo-o,311,784,species,834
602,SPECIES_TAPU_KOKO,Tapu Koko,312,785,species,835
603,SPECIES_TAPU_LELE,Tapu Lele,313,786,species,836
604,SPECIES_TAPU_BULU,Tapu Bulu,314,787,species,837
605,SPECIES_TAPU_FINI,Tapu Fini,315,788,species,838
606,SPECIES_NIHILEGO,Nihilego,316,793,species,843
607,SPECIES_BUZZWOLE,Buzzwole,317,794,species,844
608,SPECIES_PHEROMOSA,Pheromosa,318,795,species,845
609,SPECIES_XURKITREE,Xurkitree,319,796,species,846
610,SPECIES_CELESTEELA,Celesteela,320,797,species,847
611,SPECIES_KARTANA,Kartana,321,798,species,848
612,SPECIES_GUZZLORD,Guzzlord,322,799,species,849
613,SPECIES_MAGEARNA,Magearna,323,801,species,851
614,SPECIES_POIPOLE,Poipole,324,803,species,853
615,SPECIES_NAGANADEL,Naganadel,325,804,species,854
616,SPECIES_STAKATAKA,Stakataka,326,805,species,855
617,SPECIES_BLACEPHALON,Blacephalon,327,806,species,856
618,SPECIES_SCORBUNNY,Scorbunny,328,813,species,863
619,SPECIES_RABOOT,Raboot,329,814,species,864
620,SPECIES_CINDERACE,Cinderace,330,815,species,865
621,SPECIES_ROOKIDEE,Rookidee,331,821,species,871
622,SPECIES_CORVISQUIRE,Corvisquire,332,822,species,872
623,SPECIES_CORVIKNIGHT,Corviknight,333,823,species,873
624,SPECIES_BLIPBUG,Blipbug,334,824,species,874
625,SPECIES_DOTTLER,Dottler,335,825,species,875
626,SPECIES_ORBEETLE,Orbeetle,336,826,species,876
627,SPECIES_WOOLOO,Wooloo,337,831,species,881
628,SPECIES_DUBWOOL,Dubwool,338,832,species,882
629,SPECIES_CLOBBOPUS,Clobbopus,341,852,species,902
630,SPECIES_GRAPPLOCT,Grapploct,342,853,species,903
631,SPECIES_SINISTEA,Sinistea,343,854,species,904
632,SPECIES_POLTEAGEIST,Polteageist,344,855,species,905
633,SPECIES_SINISTCHA,Sinistcha,345,1013,species,1063
634,SPECIES_SNOM,Snom,346,872,species,922
635,SPECIES_FROSMOTH,Frosmoth,347,873,species,923
636,SPECIES_SPRIGATITO,Sprigatito,348,906,species,956
637,SPECIES_FLORAGATO,Floragato,349,907,species,957
638,SPECIES_MEOWSCARADA,Meowscarada,350,908,species,958
639,SPECIES_PAWMI,Pawmi,351,921,species,971
640,SPECIES_PAWMO,Pawmo,352,922,species,972
641,SPECIES_PAWMOT,Pawmot,353,923,species,973
642,SPECIES_SMOLIV,Smoliv,354,928,species,978
643,SPECIES_DOLLIV,Dolliv,355,929,species,979
644,SPECIES_ARBOLIVA,Arboliva,356,930,species,980
645,SPECIES_NACLI,Nacli,357,932,species,982
646,SPECIES_NACLSTACK,Naclstack,358,933,species,983
647,SPECIES_GARGANACL,Garganacl,359,934,species,984
648,SPECIES_CHARCADET,Charcadet,360,935,species,985
649,SPECIES_ARMAROUGE,Armarouge,361,936,species,986
650,SPECIES_CERULEDGE,Ceruledge,362,937,species,987
651,SPECIES_GLIMMET,Glimmet,363,969,species,1019
652,SPECIES_GLIMMORA,Glimmora,364,970,species,1020
