dex_pos,name,status,natdex,kind,donor_index,verified,t1,t2,evo,tier
77,Clodsire,new,980,species,1030,yes,Poison,Ground,"Wooper, level up holding Poison Barb (methods 18/19)",preferred
78,Gligar,native,207,platinum,,yes,Ground,Flying,,preferred
79,Gliscor,native,472,platinum,,yes,Ground,Flying,,preferred
80,Heracross,native,214,platinum,,yes,Bug,Fighting,,preferred
81,Sneasel,native,215,platinum,,yes,Dark,Ice,,preferred
82,Weavile,native,461,platinum,,yes,Dark,Ice,,preferred
83,Slugma,native,218,platinum,,yes,Fire,Fire,,filler
84,Magcargo,native,219,platinum,,yes,Fire,Rock,,filler
85,Swinub,native,,platinum,,UNMATCHED,Ice,Ground,,preferred
86,Piloswine,native,221,platinum,,yes,Ice,Ground,,preferred
87,Mamoswine,native,,platinum,,UNMATCHED,Ice,Ground,,preferred
88,Skarmory,native,,platinum,,UNMATCHED,Steel,Flying,,filler
89,Houndour,native,228,platinum,,yes,Fire,Dark,,preferred
90,Houndoom,native,,platinum,,UNMATCHED,Fire,Dark,,preferred
91,Suicune,native,,platinum,,UNMATCHED,Water,Water,,gate
92,Larvitar,native,246,platinum,,yes,Dark,Ground,,filler
93,Pupitar,native,247,platinum,,yes,Dark,Ground,,filler
94,Tyranitar,native,,platinum,,UNMATCHED,Dark,Rock,,filler
95,Treecko,native,252,platinum,,yes,Grass,Grass,,gate
96,Grovyle,native,253,platinum,,yes,Grass,Grass,,gate
97,Sceptile,native,254,platinum,,yes,Grass,Dragon,,gate
98,Torchic,native,255,platinum,,yes,Fire,Fire,,gate
99,Combusken,native,256,platinum,,yes,Fire,Fighting,,gate
100,Blaziken,native,,platinum,,UNMATCHED,Fire,Fighting,,gate
101,Mudkip,native,,platinum,,UNMATCHED,Water,Water,,gate
102,Marshtomp,native,259,platinum,,yes,Water,Ground,,gate
103,Swampert,native,260,platinum,,yes,Water,Ground,,gate
104,Poochyena,native,261,platinum,,yes,Dark,Dark,,filler
105,Mightyena,native,262,platinum,,yes,Dark,Dark,,filler
106,Lotad,native,270,platinum,,yes,Grass,Water,,starter-adjacent
107,Lombre,native,271,platinum,,yes,Grass,Water,,starter-adjacent
108,Ludicolo,native,272,platinum,,yes,Grass,Water,,starter-adjacent
109,Seedot,native,273,platinum,,yes,Grass,Grass,,filler
110,Nuzleaf,native,274,platinum,,yes,Grass,Dark,,filler
111,Shiftry,native,275,platinum,,yes,Grass,Dark,,filler
112,Ralts,native,280,platinum,,yes,Psychic,Fairy,,preferred
113,Kirlia,native,281,platinum,,yes,Psychic,Fairy,,preferred
114,Gardevoir,native,282,platinum,,yes,Psychic,Fairy,,preferred
115,Gallade,native,475,platinum,,yes,Psychic,Fighting,,preferred
116,Surskit,native,283,platinum,,yes,Bug,Water,,filler
117,Masquerain,native,284,platinum,,yes,Bug,Water,,filler
118,Shroomish,native,285,platinum,,yes,Grass,Grass,,starter-adjacent
119,Breloom,native,286,platinum,,yes,Grass,Fighting,,starter-adjacent
120,Makuhita,native,296,platinum,,yes,Fighting,Fighting,,starter-adjacent
121,Hariyama,native,297,platinum,,yes,Fighting,Fighting,,starter-adjacent
122,Skitty,native,300,platinum,,yes,Normal,Normal,,filler
123,Delcatty,native,301,platinum,,yes,Normal,Normal,,filler
124,Roselia,native,315,platinum,,yes,Grass,Poison,,starter-adjacent
125,Budew,native,406,platinum,,yes,Grass,Poison,,starter-adjacent
126,Roserade,native,,platinum,,UNMATCHED,Grass,Poison,,starter-adjacent
127,Trapinch,native,328,platinum,,yes,Bug,Ground,,filler
128,Vibrava,native,329,platinum,,yes,Bug,Flying,,filler
129,Flygon,native,330,platinum,,yes,Bug,Dragon,,filler
130,Swablu,native,333,platinum,,yes,Normal,Flying,,preferred
131,Altaria,native,334,platinum,,yes,Dragon,Flying,,preferred
133,Lunatone,native,337,platinum,,yes,Rock,Psychic,,filler
134,Solrock,native,338,platinum,,yes,Rock,Psychic,,filler
135,Barboach,native,339,platinum,,yes,Water,Ground,,preferred
136,Whiscash,native,340,platinum,,yes,Water,Ground,,preferred
137,Lileep,native,345,platinum,,yes,Rock,Grass,,gate
138,Cradily,native,346,platinum,,yes,Rock,Grass,,gate
139,Feebas,native,349,platinum,,yes,Water,Water,,preferred
140,Milotic,native,350,platinum,,yes,Water,Dragon,,preferred
141,Castform,native,,platinum,,UNMATCHED,Normal,Normal,,filler
142,Duskull,native,,platinum,,UNMATCHED,Ghost,Ghost,,preferred
143,Dusclops,native,356,platinum,,yes,Ghost,Ghost,,preferred
144,Dusknoir,native,477,platinum,,yes,Ghost,Ghost,,preferred
145,Absol,native,,platinum,,UNMATCHED,Dark,Dark,,preferred
148,Snorunt,native,361,platinum,,yes,Ice,Ice,,preferred
149,Glalie,native,362,platinum,,yes,Ice,Rock,,preferred
150,Froslass,native,478,platinum,,yes,Ice,Ghost,,preferred
151,Luvdisc,native,370,platinum,,yes,Water,Water,,filler
152,Beldum,native,374,platinum,,yes,Steel,Psychic,,filler
153,Metang,native,375,platinum,,yes,Steel,Psychic,,filler
154,Metagross,native,376,platinum,,yes,Steel,Psychic,,filler
155,Regirock,native,377,platinum,,yes,Rock,Rock,,gate
156,Regice,native,378,platinum,,yes,Ice,Ice,,gate
157,Registeel,native,379,platinum,,yes,Steel,Steel,,gate
158,Latias,native,380,platinum,,yes,Dragon,Psychic,,gate
159,Latios,native,381,platinum,,yes,Dragon,Psychic,,gate
160,Turtwig,native,387,platinum,,yes,Grass,Grass,,gate
161,Grotle,native,388,platinum,,yes,Grass,Grass,,gate
162,Torterra,native,389,platinum,,yes,Grass,Ground,,gate
163,Piplup,native,393,platinum,,yes,Water,Water,,gate
164,Prinplup,native,394,platinum,,yes,Water,Water,,gate
165,Empoleon,native,395,platinum,,yes,Water,Steel,,gate
166,Shinx,native,403,platinum,,yes,Electric,Electric,,starter-adjacent
167,Luxio,native,404,platinum,,yes,Electric,Electric,,starter-adjacent
168,Luxray,native,405,platinum,,yes,Electric,Dark,,starter-adjacent
169,Cranidos,native,408,platinum,,yes,Rock,Rock,,gate
170,Rampardos,native,409,platinum,,yes,Rock,Rock,,gate
171,Shieldon,native,410,platinum,,yes,Rock,Steel,,gate
172,Bastiodon,native,,platinum,,UNMATCHED,Rock,Steel,,gate
173,Combee,native,415,platinum,,yes,Bug,Flying,,preferred
174,Vespiquen,native,416,platinum,,yes,Bug,Flying,,preferred
175,Pachirisu,native,417,platinum,,yes,Electric,Electric,,starter-adjacent
176,Drifloon,native,425,platinum,,yes,Ghost,Flying,,gate
177,Drifblim,native,426,platinum,,yes,Ghost,Flying,,gate
178,Buneary,native,427,platinum,,yes,Normal,Normal,,starter-adjacent
179,Lopunny,native,428,platinum,,yes,Normal,Fighting,,starter-adjacent
180,Lopunny M,new,428,altevo,1117,"MISMATCH (65, 136, 94, 54, 96, 135)",Normal,Fighting,"alt evolution of Lopunny, Normal/Fighting offensive; trigger TBD by Ian",starter-adjacent
181,Glameow,native,431,platinum,,yes,Normal,Normal,,preferred
182,Purugly,native,432,platinum,,yes,Normal,Normal,,preferred
183,Stunky,native,434,platinum,,yes,Poison,Dark,,preferred
184,Skuntank,native,435,platinum,,yes,Poison,Dark,,preferred
185,Bronzor,native,437,platinum,,yes,Steel,Psychic,,preferred
186,Bronzong,native,437,platinum,,yes,Steel,Psychic,,preferred
187,Spiritomb,native,442,platinum,,yes,Ghost,Dark,,gate
188,Gible,native,443,platinum,,yes,Dragon,Ground,,preferred
189,Gabite,native,444,platinum,,yes,Dragon,Ground,,preferred
190,Garchomp,native,445,platinum,,yes,Dragon,Ground,,preferred
191,Riolu,native,447,platinum,,yes,Fighting,Fighting,,preferred
192,Lucario,native,448,platinum,,yes,Fighting,Steel,,preferred
193,Hippopotas,native,449,platinum,,yes,Ground,Ground,,preferred
194,Hippowdon,native,450,platinum,,yes,Ground,Ground,,preferred
195,Skorupi,native,451,platinum,,yes,Poison,Bug,,preferred
196,Drapion,native,452,platinum,,yes,Poison,Dark,,preferred
197,Croagunk,native,453,platinum,,yes,Poison,Fighting,,preferred
198,Toxicroak,native,454,platinum,,yes,Poison,Fighting,,preferred
199,Finneon,native,456,platinum,,yes,Water,Water,,preferred
200,Lumineon,native,457,platinum,,yes,Water,Water,,preferred
201,Snover,native,459,platinum,,yes,Grass,Ice,,preferred
202,Abomasnow,native,460,platinum,,yes,Grass,Ice,,preferred
203,Rotom,native,503,platinum,,yes,Electric,Ghost,,gate
204,Uxie,native,480,platinum,,yes,Psychic,Fairy,,gate
205,Mesprit,native,481,platinum,,yes,Psychic,Fairy,,gate
206,Azelf,native,482,platinum,,yes,Psychic,Fairy,,gate
207,Dialga,native,483,platinum,,yes,Steel,Dragon,,gate
208,Palkia,native,484,platinum,,yes,Water,Dragon,,gate
209,Heatran,native,485,platinum,,yes,Fire,Steel,,gate
210,Regigigas,native,486,platinum,,yes,Normal,Normal,,gate
211,Giratina,native,487,platinum,,yes,Ghost,Dragon,,gate
212,Cresselia,native,,platinum,,UNMATCHED,Psychic,Psychic,,gate
213,Phione,native,489,platinum,,yes,Water,Water,,gate
214,Manaphy,native,151,platinum,,yes,Water,Water,,gate
215,Darkrai,native,491,platinum,,yes,Dark,Dark,,gate
216,Shaymin,native,151,platinum,,yes,Grass,Grass,,gate
217,Arceus,native,493,platinum,,yes,Normal,Normal,,gate
218,Snivy,new,495,species,545,yes,Grass,Grass,,preferred
219,Servine,new,496,species,546,yes,Grass,Grass,,preferred
220,Serperior,new,497,species,547,yes,Grass,Grass,,preferred
221,Purrloin,new,509,species,559,yes,Dark,Dark,,starter-adjacent
222,Liepard,new,510,species,560,"MISMATCH (64, 88, 50, 88, 50, 106)",Dark,Dark,,starter-adjacent
223,Sewaddle,new,540,species,590,yes,Bug,Grass,,starter-adjacent
224,Swadloon,new,541,species,591,yes,Bug,Grass,,starter-adjacent
225,Leavanny,new,542,species,592,yes,Bug,Grass,,starter-adjacent
226,Dwebble,new,557,species,607,yes,Bug,Rock,,filler
227,Crustle,new,558,species,608,yes,Bug,Rock,,filler
228,Yamask,new,562,species,612,yes,Ghost,Ghost,,filler
229,Cofagrigus,new,563,species,613,yes,Ghost,Ghost,"Yamask, level 34 (method 4) - the non-branch half",filler
230,Runerigus,new,867,species,917,yes,Ground,Ghost,"Yamask, level up holding Reaper Cloth (methods 18/19)",filler
231,Minccino,new,572,species,622,yes,Normal,Normal,,starter-adjacent
232,Cinccino,new,573,species,623,yes,Normal,Normal,,starter-adjacent
233,Gothita,new,574,species,624,yes,Psychic,Psychic,,filler
234,Gothorita,new,575,species,625,yes,Psychic,Psychic,,filler
235,Gothitelle,new,576,species,626,"MISMATCH (70, 55, 95, 95, 110, 65)",Psychic,Dark,,filler
236,Emolga,new,587,species,637,yes,Electric,Flying,,filler
237,Frillish,new,592,species,642,yes,Water,Ghost,,filler
238,Jellicent,new,593,species,643,yes,Water,Ghost,,filler
239,Alomomola,new,594,species,644,yes,Water,Water,"Luvdisc, high friendship (method 1)",filler
240,Joltik,new,595,species,645,yes,Bug,Electric,,filler
241,Galvantula,new,596,species,646,yes,Bug,Electric,,filler
242,Ferroseed,new,597,species,647,yes,Grass,Steel,,filler
243,Ferrothorn,new,598,species,648,yes,Grass,Steel,,filler
244,Litwick,new,607,species,657,yes,Ghost,Fire,,filler
245,Lampent,new,608,species,658,yes,Ghost,Fire,,filler
246,Chandelure,new,609,species,659,yes,Ghost,Fire,,filler
247,Mienfoo,new,619,species,669,yes,Fighting,Fighting,,filler
248,Mienshao,new,620,species,670,yes,Fighting,Fighting,,filler
249,Vullaby,new,629,species,679,yes,Dark,Flying,,filler
250,Mandibuzz,new,630,species,680,yes,Dark,Flying,,filler
251,Larvesta,new,636,species,686,yes,Bug,Fire,,filler
252,Volcarona,new,637,species,687,yes,Bug,Fire,,filler
253,Fennekin,new,653,species,703,yes,Fire,Fire,,preferred
254,Braixen,new,654,species,704,yes,Fire,Fire,,preferred
255,Delphox,new,655,species,705,yes,Fire,Psychic,,preferred
256,Froakie,new,656,species,706,yes,Water,Water,,preferred
257,Frogadier,new,657,species,707,yes,Water,Water,,preferred
258,Greninja,new,658,species,708,yes,Water,Dark,,preferred
259,Fletchling,new,661,species,711,yes,Normal,Flying,,starter-adjacent
260,Fletchinder,new,662,species,712,yes,Fire,Flying,,starter-adjacent
261,Talonflame,new,663,species,713,yes,Fire,Flying,,starter-adjacent
262,Flabebe,new,669,species,719,yes,Fairy,Fairy,,filler
263,Floette,new,670,species,720,yes,Fairy,Fairy,,filler
264,Florges,new,671,species,721,yes,Fairy,Fairy,,filler
265,Hawlucha,new,701,species,751,yes,Fighting,Flying,,filler
266,Carbink,new,703,species,753,yes,Rock,Fairy,,filler
267,Goomy,new,704,species,754,yes,Dragon,Dragon,,filler
268,Sliggoo,new,705,species,755,yes,Dragon,Dragon,,filler
269,Hisuian Sliggoo,new,705,form,1338,yes,Steel,Dragon,"Goomy, level up holding Metal Coat (methods 18/19)",filler
270,Goodra,new,706,species,756,yes,Dragon,Dragon,,filler
271,Hisuian Goodra,new,706,form,1339,yes,Steel,Dragon,"Hisuian Sliggoo, level 50 (method 4)",filler
272,Klefki,new,707,species,757,yes,Steel,Fairy,,filler
273,Xerneas,new,716,species,766,yes,Fairy,Fairy,,gate
274,Yveltal,new,717,species,767,yes,Dark,Flying,,gate
275,Zygarde 10%,new,718,form,1269,yes,Dragon,Ground,,gate
276,Zygarde 50%,new,718,species,768,yes,Dragon,Ground,"Zygarde 10%, level up (method 4) - cells assembling",gate
277,Diancie,new,719,species,769,yes,Rock,Fairy,,gate
278,Rowlet,new,722,species,772,yes,Grass,Flying,,preferred
279,Dartrix,new,723,species,773,yes,Grass,Flying,,preferred
280,Decidueye,new,724,species,774,yes,Grass,Ghost,,preferred
281,Litten,new,725,species,775,yes,Fire,Fire,,preferred
282,Torracat,new,726,species,776,yes,Fire,Fire,,preferred
283,Incineroar,new,727,species,777,yes,Fire,Dark,,preferred
284,Popplio,new,728,species,778,yes,Water,Water,,preferred
285,Brionne,new,729,species,779,yes,Water,Water,,preferred
286,Primarina,new,730,species,780,yes,Water,Fairy,,preferred
287,Pikipek,new,731,species,781,yes,Normal,Flying,,starter-adjacent
288,Trumbeak,new,732,species,782,yes,Normal,Flying,,starter-adjacent
289,Toucannon,new,733,species,783,yes,Normal,Flying,,starter-adjacent
290,Grubbin,new,736,species,786,yes,Bug,Bug,,starter-adjacent
291,Charjabug,new,737,species,787,yes,Bug,Electric,,starter-adjacent
292,Vikavolt,new,738,species,788,yes,Bug,Electric,"Charjabug, magnetic field (method 24) - direct port",starter-adjacent
293,Mareanie,new,747,species,797,yes,Poison,Water,,filler
294,Toxapex,new,748,species,798,yes,Poison,Water,,filler
295,Dewpider,new,751,species,801,yes,Water,Bug,,filler
296,Araquanid,new,752,species,802,yes,Water,Bug,,filler
297,Fomantis,new,753,species,803,yes,Grass,Grass,,filler
298,Lurantis,new,754,species,804,yes,Grass,Grass,,filler
299,Salandit,new,757,species,807,yes,Poison,Fire,,filler
300,Salazzle,new,758,species,808,yes,Poison,Fire,"Salandit, level 33 female (method 23) - direct port",filler
301,Bounsweet,new,761,species,811,yes,Grass,Grass,,starter-adjacent
302,Steenee,new,762,species,812,yes,Grass,Grass,,starter-adjacent
303,Tsareena,new,763,species,813,"MISMATCH (72, 120, 98, 50, 98, 72)",Grass,Fighting,"Steenee, level up knowing Stomp (method 20) - direct port",starter-adjacent
304,Sandygast,new,769,species,819,yes,Ghost,Ground,,filler
305,Palossand,new,770,species,820,yes,Ghost,Ground,,filler
306,Turtonator,new,776,species,826,yes,Fire,Dragon,,filler
307,Togedemaru,new,777,species,827,yes,Electric,Steel,,filler
308,Dhelmise,new,781,species,831,yes,Ghost,Grass,,filler
309,Jangmo-o,new,782,species,832,yes,Dragon,Dragon,,filler
310,Hakamo-o,new,783,species,833,yes,Dragon,Fighting,,filler
311,Kommo-o,new,784,species,834,yes,Dragon,Fighting,,filler
312,Tapu Koko,new,785,species,835,yes,Electric,Fairy,,gate
313,Tapu Lele,new,786,species,836,yes,Psychic,Fairy,,gate
314,Tapu Bulu,new,787,species,837,yes,Grass,Fairy,,gate
315,Tapu Fini,new,788,species,838,yes,Water,Fairy,,gate
316,Nihilego,new,793,species,843,yes,Rock,Poison,,gate
317,Buzzwole,new,794,species,844,yes,Bug,Fighting,,gate
318,Pheromosa,new,795,species,845,yes,Bug,Fighting,,gate
319,Xurkitree,new,796,species,846,yes,Electric,Electric,,gate
320,Celesteela,new,797,species,847,yes,Steel,Flying,,gate
321,Kartana,new,798,species,848,yes,Grass,Steel,,gate
322,Guzzlord,new,799,species,849,yes,Dark,Dragon,,gate
323,Magearna,new,801,species,851,yes,Steel,Fairy,,gate
324,Poipole,new,803,species,853,yes,Poison,Poison,,gate
325,Naganadel,new,804,species,854,yes,Poison,Dragon,"Poipole, level up knowing Dragon Pulse (method 20) - direct port",gate
326,Stakataka,new,805,species,855,yes,Rock,Steel,,gate
327,Blacephalon,new,806,species,856,yes,Fire,Ghost,,gate
328,Scorbunny,new,813,species,863,yes,Fire,Fire,,gate
329,Raboot,new,814,species,864,yes,Fire,Fire,,gate
330,Cinderace,new,815,species,865,yes,Fire,Fire,,gate
331,Rookidee,new,821,species,871,yes,Flying,Flying,,starter-adjacent
332,Corvisquire,new,822,species,872,yes,Flying,Flying,,starter-adjacent
333,Corviknight,new,823,species,873,yes,Flying,Steel,,starter-adjacent
334,Blipbug,new,824,species,874,yes,Bug,Bug,,starter-adjacent
335,Dottler,new,825,species,875,yes,Bug,Psychic,,starter-adjacent
336,Orbeetle,new,826,species,876,yes,Bug,Psychic,,starter-adjacent
337,Wooloo,new,831,species,881,yes,Normal,Normal,,starter-adjacent
338,Dubwool,new,832,species,882,yes,Normal,Normal,,starter-adjacent
339,Toxel,cut,,,,,Electric,Poison,dropped: nature-split evolution,filler
340,Toxtricity,cut,,,,,Electric,Poison,dropped: nature-split evolution,filler
341,Clobbopus,new,852,species,902,yes,Fighting,Fighting,,filler
342,Grapploct,new,853,species,903,yes,Fighting,Fighting,"Clobbopus, level up knowing Taunt (method 20) - direct port",filler
343,Sinistea,new,854,species,904,yes,Ghost,Ghost,,filler
344,Polteageist,new,855,species,905,yes,Ghost,Ghost,Sinistea + Dusk Stone (method 7),filler
345,Sinistcha,new,1013,species,1063,yes,Grass,Ghost,Polteageist + Dusk Stone (method 7),filler
346,Snom,new,872,species,922,yes,Ice,Bug,,filler
347,Frosmoth,new,873,species,923,yes,Ice,Bug,"Snom, high friendship at night (method 3) - direct port",filler
348,Sprigatito,new,906,species,956,yes,Grass,Grass,,preferred
349,Floragato,new,907,species,957,yes,Grass,Grass,,preferred
350,Meowscarada,new,908,species,958,yes,Grass,Dark,,preferred
351,Pawmi,new,921,species,971,yes,Electric,Electric,,starter-adjacent
352,Pawmo,new,922,species,972,yes,Electric,Fighting,,starter-adjacent
353,Pawmot,new,923,species,973,yes,Electric,Fighting,Pawmo + Thunder Stone (method 7),starter-adjacent
354,Smoliv,new,928,species,978,yes,Grass,Normal,,starter-adjacent
355,Dolliv,new,929,species,979,yes,Grass,Normal,,starter-adjacent
356,Arboliva,new,930,species,980,yes,Grass,Normal,,starter-adjacent
357,Nacli,new,932,species,982,yes,Rock,Rock,,starter-adjacent
358,Naclstack,new,933,species,983,yes,Rock,Rock,,starter-adjacent
359,Garganacl,new,934,species,984,yes,Rock,Rock,,starter-adjacent
360,Charcadet,new,935,species,985,yes,Fire,Fire,,filler
361,Armarouge,new,936,species,986,yes,Fire,Psychic,Charcadet + Sun Stone (method 7),filler
362,Ceruledge,new,937,species,987,yes,Fire,Ghost,Charcadet + Dusk Stone (method 7),filler
363,Glimmet,new,969,species,1019,yes,Rock,Poison,,filler
364,Glimmora,new,970,species,1020,yes,Rock,Poison,,filler
365,Nosepass,native,299,platinum,,yes,Rock,Rock,,starter-adjacent
366,Probopass,native,476,platinum,,yes,Rock,Steel,,starter-adjacent
367,Geodude,native,74,platinum,,yes,Rock,Ground,,starter-adjacent
368,Graveler,native,75,platinum,,yes,Rock,Ground,,starter-adjacent
369,Golem,native,76,platinum,,yes,Rock,Ground,,starter-adjacent
370,Phanpy,native,231,platinum,,yes,Ground,Ground,,starter-adjacent
371,Donphan,native,232,platinum,,yes,Ground,Ground,,starter-adjacent
372,Goldeen,native,118,platinum,,yes,Water,Water,,starter-adjacent
373,Seaking,native,119,platinum,,yes,Water,Water,,starter-adjacent
374,Corphish,native,341,platinum,,yes,Water,Water,,starter-adjacent
375,Crawdaunt,native,342,platinum,,yes,Water,Dark,,starter-adjacent
376,Chinchou,native,170,platinum,,yes,Water,Electric,,starter-adjacent
377,Lanturn,native,171,platinum,,yes,Water,Electric,,starter-adjacent
378,Carvanha,native,318,platinum,,yes,Water,Dark,,starter-adjacent
379,Sharpedo,native,319,platinum,,yes,Water,Dark,,starter-adjacent
380,Remoraid,native,223,platinum,,yes,Water,Water,,starter-adjacent
381,Octillery,native,224,platinum,,yes,Water,Water,,starter-adjacent
382,Buizel,native,418,platinum,,yes,Water,Water,,starter-adjacent
383,Floatzel,native,419,platinum,,yes,Water,Water,,starter-adjacent
384,Shellos,native,422,platinum,,yes,Water,Water,,starter-adjacent
385,Gastrodon,native,423,platinum,,yes,Water,Ground,,starter-adjacent
386,Mantyke,native,458,platinum,,yes,Water,Flying,,preferred
387,Mantine,native,226,platinum,,yes,Water,Flying,,preferred
388,Gastly,native,92,platinum,,yes,Ghost,Poison,,preferred
389,Haunter,native,93,platinum,,yes,Ghost,Poison,,preferred
390,Gengar,native,94,platinum,,yes,Ghost,Poison,,preferred
391,Misdreavus,native,200,platinum,,yes,Ghost,Ghost,,preferred
392,Mismagius,native,429,platinum,,yes,Ghost,Ghost,,preferred
